timestamp,price_usd,ma_6,volatility_12
2025-05-16 08:18:31,103526,103538.33333333333,9.731236804200575
2025-05-16 08:18:41,103526,103535.66666666667,9.073771728210742
2025-05-16 08:18:51,103526,103533.0,8.306623865461104
2025-05-16 08:19:01,103526,103530.33333333333,8.161253619897195
2025-05-16 08:19:12,103526,103528.16666666667,8.009464101531039
2025-05-16 08:20:23,103521,103525.16666666667,8.317105413933765
2025-05-16 08:20:33,103521,103524.33333333333,8.605847204249926
2025-05-16 08:20:43,103521,103523.5,8.371578905793507
2025-05-16 08:20:53,103521,103522.66666666667,7.7087121146884074
2025-05-16 08:21:03,103521,103521.83333333333,6.4871668220069125
2025-05-16 08:21:13,103521,103521.0,5.177895914759385
2025-05-16 08:21:24,103521,103521.0,2.574643261219223
2025-05-16 08:21:34,103516,103520.16666666667,3.107907809604885
2025-05-16 08:22:44,103503,103517.16666666667,6.169327848713148
2025-05-16 08:22:55,103503,103514.16666666667,7.645061787958414
2025-05-16 08:23:05,103503,103511.16666666667,8.415353935716901
2025-05-16 08:23:15,103503,103508.16666666667,8.670308095443618
2025-05-16 08:23:25,103503,103505.16666666667,9.009674936992583
2025-05-16 08:23:35,103505,103503.33333333333,8.915002679395977
2025-05-16 08:23:45,103505,103503.66666666667,8.596599048357607
2025-05-16 08:24:56,103504,103503.83333333333,8.079153874002134
2025-05-16 08:25:06,103504,103504.0,7.229464126931395
2025-05-16 08:25:16,103504,103504.16666666667,5.905826608238571
2025-05-16 08:25:26,103504,103504.33333333333,3.6212755227671205
2025-05-16 08:25:36,103496,103502.83333333333,2.353269818029376
2025-05-16 08:25:46,103496,103501.33333333333,3.118857607520024
2025-05-16 08:26:57,103489,103498.83333333333,4.9787426963946295
2025-05-16 08:27:07,103489,103496.33333333333,6.072790785802362
2025-05-16 08:27:17,103489,103493.83333333333,6.782329986784588
2025-05-16 08:27:27,103482,103490.16666666667,8.214455111408368
2025-05-16 08:27:38,103489,103489.0,8.14034099811371
2025-05-16 08:27:48,103482,103486.66666666667,8.506681868658285
2025-05-16 08:28:58,103471,103483.66666666667,10.154488486146228
2025-05-16 08:29:08,103471,103480.66666666667,10.833449885239373
2025-05-16 08:29:19,103471,103477.66666666667,10.72910231178311
2025-05-16 08:29:29,103467,103475.16666666667,10.316212603379538
2025-05-16 08:29:39,103467,103471.5,10.305558961505024
2025-05-16 08:29:49,103467,103469.0,9.656211694942314
2025-05-16 08:31:00,103464,103467.83333333333,9.72461731246116
2025-05-16 08:31:10,103464,103466.66666666667,9.296463977256339
2025-05-16 08:31:20,103464,103465.5,8.295215857188829
2025-05-16 08:31:30,103464,103465.0,7.856188454133258
2025-05-16 08:31:40,103464,103464.5,5.274294443423215
2025-05-16 08:32:51,103467,103464.5,2.8959219075205374
2025-05-16 08:33:01,103467,103465.0,2.5746432640224466
2025-05-16 08:33:11,103467,103465.5,2.151461813994135
2025-05-16 08:33:21,103467,103466.0,1.5447859705288414
2025-05-16 08:33:31,103466,103466.33333333333,1.4974726377547858
2025-05-16 08:33:41,103467,103466.83333333333,1.4974726377547858
2025-05-16 08:34:52,103456,103465.0,3.107907811969553
2025-05-16 08:35:02,103456,103463.16666666667,4.010403145830613
2025-05-16 08:35:12,103456,103461.33333333333,4.640892031363172
2025-05-16 08:35:22,103456,103459.5,5.101247625017601
2025-05-16 08:35:33,103454,103457.5,5.664215161211798
2025-05-16 08:35:43,103456,103455.66666666667,5.863988718921511
2025-05-16 08:36:53,103446,103454.0,7.012974992210587
2025-05-16 08:37:03,103446,103452.33333333333,7.569376104098005
2025-05-16 08:37:14,103446,103450.66666666667,7.663372155089112
2025-05-16 08:37:24,103446,103449.0,7.312815653881983
2025-05-16 08:37:34,103446,103447.66666666667,6.639528100247878
2025-05-16 08:37:44,103446,103446.0,5.07817672484894
2025-05-16 08:38:55,103436,103444.33333333333,6.350852965900238
2025-05-16 08:39:05,103436,103442.66666666667,6.987000921681743
2025-05-16 08:39:15,103436,103441.0,7.15838140252975
2025-05-16 08:39:25,103436,103439.33333333333,6.89971453525119
2025-05-16 08:39:35,103436,103437.66666666667,6.513389477556273
2025-05-16 08:39:45,103415,103432.5,9.11666805506278
2025-05-16 08:40:56,103415,103429.0,11.187113801799642
2025-05-16 08:41:06,103408,103424.33333333333,13.453624049426983
2025-05-16 08:41:16,103408,103419.66666666667,14.661844939619893
2025-05-16 08:41:26,103408,103415.0,15.068530323983621
2025-05-16 08:41:36,103408,103410.33333333333,14.740173924936283
2025-05-16 08:41:47,103408,103409.16666666667,13.623731525213056
2025-05-16 08:42:57,103402,103407.0,13.717937827792317
2025-05-16 08:43:07,103402,103406.0,13.162158801205926
2025-05-16 08:43:17,103402,103405.0,11.865406813674975
2025-05-16 08:43:28,103402,103404.0,9.529857390577373
2025-05-16 08:43:38,103402,103403.0,4.83045892233106
2025-05-16 08:43:48,103402,103402.0,4.209477050281137
2025-05-16 08:44:58,103388,103399.66666666667,5.678241304305069
2025-05-16 08:45:09,103360,103392.66666666667,13.546776427741774
2025-05-16 08:45:19,103360,103385.66666666667,17.3170086316156
2025-05-16 08:45:29,103360,103378.66666666667,19.527758022942706
2025-05-16 08:45:39,103360,103371.66666666667,20.685231155310397
2025-05-16 08:45:49,103360,103364.66666666667,20.964616657252993
2025-05-16 08:47:00,103358,103359.66666666667,21.248885890468316
2025-05-16 08:47:10,103335,103355.5,23.52738572089708
2025-05-16 08:47:20,103335,103351.33333333333,24.23933692613024
2025-05-16 08:47:30,103335,103347.16666666667,23.52738572094213
2025-05-16 08:47:40,103335,103343.0,21.248885890568076
2025-05-16 08:48:51,103332,103338.33333333333,17.06937715442878
2025-05-16 08:49:01,103332,103334.0,13.455876267940202
2025-05-16 08:49:11,103332,103333.5,13.392670997289768
2025-05-16 08:49:21,103332,103333.0,12.875864198817192
2025-05-16 08:49:32,103332,103332.5,11.846237099278234
2025-05-16 08:49:42,103332,103332.0,10.14889156900703
2025-05-16 08:50:52,103344,103334.0,7.673251459355881
2025-05-16 08:51:02,103344,103336.0,4.431293684277376
2025-05-16 08:51:13,103344,103338.0,5.136765880994179
2025-05-16 08:51:23,103347,103340.5,6.062177833053071
2025-05-16 08:51:33,103347,103343.0,6.703120039291652
2025-05-16 08:51:43,103347,103345.5,7.136653155431177
2025-05-16 08:52:54,103348,103346.16666666667,7.254570142854861
2025-05-16 08:53:04,103348,103346.83333333333,7.1026030281501304
2025-05-16 08:53:14,103348,103347.5,6.662309187855382
2025-05-16 08:53:24,103349,103347.83333333333,5.936533021918553
2025-05-16 08:53:34,103349,103348.16666666667,4.660439576615597
2025-05-16 08:53:44,103349,103348.5,1.954016861611358
2025-05-16 08:54:55,103348,103348.5,1.7232808961116386
2025-05-16 08:55:05,103348,103348.5,1.3706888618223492
2025-05-16 08:55:15,103348,103348.5,0.7385489980516157
2025-05-16 08:55:25,103355,103349.5,2.1033883381804577
2025-05-16 08:55:35,103355,103350.5,2.7080128157338517
2025-05-16 08:55:45,103355,103351.5,3.0451153261365227
2025-05-16 08:56:56,103374,103355.83333333333,7.493431472156653
2025-05-16 08:57:06,103374,103360.16666666667,9.63264651401091
2025-05-16 08:57:16,103374,103364.5,10.917042560028078
2025-05-16 08:57:26,103383,103369.16666666667,13.005826203157056
2025-05-16 08:57:37,103383,103373.83333333333,14.198804903259061
2025-05-16 08:57:47,103383,103378.5,14.715483499353333
2025-05-16 08:58:57,103367,103377.33333333333,13.707717360142716
2025-05-16 08:59:08,103367,103376.16666666667,12.401124096696947
2025-05-16 08:59:18,103367,103375.0,10.686652681175463
2025-05-16 08:59:28,103367,103372.33333333333,9.696531717375617
