ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-05-12 03:41:00,1847.4867735248433,-348.65610466956196,4063.9044952720565,1847.4867735248433,1847.4867735248433,0.0,0.0,0.0,0.0,0.0,0.0,1847.4867735248433
2025-05-12 20:48:00,2084.9216430977804,-166.30997419792703,4411.0880818969545,2084.9216430977804,2084.9216430977804,0.0,0.0,0.0,0.0,0.0,0.0,2084.9216430977804
2025-05-12 21:13:00,2090.701459802553,-63.014989453511006,4306.360737715683,2090.701459802553,2090.701459802553,0.0,0.0,0.0,0.0,0.0,0.0,2090.701459802553
2025-05-12 21:57:00,2100.8739371960482,-41.46410085335158,4483.705311492754,2100.8739371960482,2100.8739371960482,0.0,0.0,0.0,0.0,0.0,0.0,2100.8739371960482
2025-05-12 22:00:00,2101.5675152007675,-208.37716844731216,4316.376744658436,2101.5675152007675,2101.5675152007675,0.0,0.0,0.0,0.0,0.0,0.0,2101.5675152007675
2025-05-13 04:15:00,2188.2647657419784,-178.11696001764983,4487.919203007915,2188.2647657419784,2188.2647657419784,0.0,0.0,0.0,0.0,0.0,0.0,2188.2647657419784
2025-05-13 04:23:00,2190.1143070814715,75.24965006946016,4506.268247930702,2190.1143070814715,2190.1143070814715,0.0,0.0,0.0,0.0,0.0,0.0,2190.1143070814715
2025-05-14 17:04:00,2698.9693681095564,466.88019232860466,4947.980220788374,2698.9693681095564,2698.9693681095564,0.0,0.0,0.0,0.0,0.0,0.0,2698.9693681095564
2025-05-14 17:09:00,2700.12533144674,569.8612217808591,5001.567450618773,2700.12533144674,2700.12533144674,0.0,0.0,0.0,0.0,0.0,0.0,2700.12533144674
2025-05-14 18:14:00,2715.152854830122,598.7944571557351,4922.668655744868,2715.152854830122,2715.152854830122,0.0,0.0,0.0,0.0,0.0,0.0,2715.152854830122
2025-05-14 19:23:00,2731.1051488832522,339.3353695912493,4902.038409755641,2731.1051488832522,2731.1051488832522,0.0,0.0,0.0,0.0,0.0,0.0,2731.1051488832522
2025-05-14 19:24:00,2731.3363415506888,487.37594865166795,5035.323708459083,2731.3363415506888,2731.3363415506888,0.0,0.0,0.0,0.0,0.0,0.0,2731.3363415506888
2025-05-14 19:25:00,2731.567534218125,499.0219620116098,4862.886098708332,2731.567534218125,2731.567534218125,0.0,0.0,0.0,0.0,0.0,0.0,2731.567534218125
2025-05-14 19:26:00,2731.798726885562,562.8853093224616,4835.292119806335,2731.798726885562,2731.798726885562,0.0,0.0,0.0,0.0,0.0,0.0,2731.798726885562
2025-05-14 19:27:00,2732.0299195529988,564.3468380701296,4910.859033616538,2732.0299195529988,2732.0299195529988,0.0,0.0,0.0,0.0,0.0,0.0,2732.0299195529988
2025-05-14 19:28:00,2732.2611122204353,484.360539364996,4954.133980173188,2732.2611122204353,2732.2611122204353,0.0,0.0,0.0,0.0,0.0,0.0,2732.2611122204353
2025-05-14 19:29:00,2732.4923048878713,299.8664383749093,4934.173993794556,2732.4923048878713,2732.4923048878713,0.0,0.0,0.0,0.0,0.0,0.0,2732.4923048878713
2025-05-14 19:30:00,2732.7234975553083,569.9193164426896,4987.970712764977,2732.7234975553083,2732.7234975553083,0.0,0.0,0.0,0.0,0.0,0.0,2732.7234975553083
2025-05-14 19:31:00,2732.9546902227453,533.1749946452196,4993.890362614212,2732.9546902227453,2732.9546902227453,0.0,0.0,0.0,0.0,0.0,0.0,2732.9546902227453
2025-05-14 19:32:00,2733.185882890182,426.6109384536219,4887.548333556118,2733.185882890182,2733.185882890182,0.0,0.0,0.0,0.0,0.0,0.0,2733.185882890182
2025-05-14 19:33:00,2733.4170755576183,436.6379718879999,4960.042590154717,2733.4170755576183,2733.4170755576183,0.0,0.0,0.0,0.0,0.0,0.0,2733.4170755576183
2025-05-14 19:34:00,2733.648268225055,642.1716736289264,4830.173474342401,2733.648268225055,2733.648268225055,0.0,0.0,0.0,0.0,0.0,0.0,2733.648268225055
2025-05-14 19:35:00,2733.879460892492,445.5501563467763,4948.158446384777,2733.879460892492,2733.879460892492,0.0,0.0,0.0,0.0,0.0,0.0,2733.879460892492
2025-05-14 19:36:00,2734.1106535599283,571.9833257192274,4907.835103222605,2734.1106535599283,2734.1106535599283,0.0,0.0,0.0,0.0,0.0,0.0,2734.1106535599283
2025-05-14 19:37:00,2734.3418462273653,530.7456689344275,5102.373324388938,2734.3418462273653,2734.3418462273653,0.0,0.0,0.0,0.0,0.0,0.0,2734.3418462273653
2025-05-14 19:38:00,2734.573038894802,356.30888681284193,4972.232374564101,2734.573038894783,2734.573038894802,0.0,0.0,0.0,0.0,0.0,0.0,2734.573038894802
2025-05-14 19:39:00,2734.8042315622383,619.6216927453871,4985.140826060141,2734.8042315612693,2734.8042315622383,0.0,0.0,0.0,0.0,0.0,0.0,2734.8042315622383
2025-05-14 19:40:00,2735.0354242296753,580.3878753430589,5077.219750515611,2735.0354242278677,2735.0354242296753,0.0,0.0,0.0,0.0,0.0,0.0,2735.0354242296753
2025-05-14 19:41:00,2735.266616897112,509.2955550027748,4924.03743016825,2735.2666168921696,2735.266616897112,0.0,0.0,0.0,0.0,0.0,0.0,2735.266616897112
2025-05-14 19:42:00,2735.4978095645483,628.5542863877013,5058.466969396843,2735.497809557083,2735.4978095645483,0.0,0.0,0.0,0.0,0.0,0.0,2735.4978095645483
2025-05-14 19:43:00,2735.7290022319853,507.2866717114669,5029.333098697859,2735.729002221058,2735.7290022319853,0.0,0.0,0.0,0.0,0.0,0.0,2735.7290022319853
2025-05-14 19:44:00,2735.960194899422,443.8621925043459,4891.779316439477,2735.9601948836366,2735.9601949023245,0.0,0.0,0.0,0.0,0.0,0.0,2735.960194899422
2025-05-14 19:45:00,2736.1913875668583,578.7948140653511,5002.940003680952,2736.191387544925,2736.1913875710657,0.0,0.0,0.0,0.0,0.0,0.0,2736.1913875668583
2025-05-14 19:46:00,2736.422580234295,460.2066219783453,5052.724332987419,2736.422580206067,2736.42258024062,0.0,0.0,0.0,0.0,0.0,0.0,2736.422580234295
2025-05-14 19:47:00,2736.653772901732,482.7148375040104,5006.84382820716,2736.653772867324,2736.653772912277,0.0,0.0,0.0,0.0,0.0,0.0,2736.653772901732
2025-05-14 19:48:00,2736.884965569169,364.52219175552153,4819.20052796156,2736.8849655272984,2736.884965589885,0.0,0.0,0.0,0.0,0.0,0.0,2736.884965569169
2025-05-14 19:49:00,2737.116158236605,316.14992941561167,4966.463204560688,2737.1161581916035,2737.1161582623067,0.0,0.0,0.0,0.0,0.0,0.0,2737.116158236605
2025-05-14 19:50:00,2737.3473509040414,622.5907230849791,4941.58042087772,2737.34735085521,2737.3473509354244,0.0,0.0,0.0,0.0,0.0,0.0,2737.3473509040414
2025-05-14 19:51:00,2737.5785435714783,453.9561535517328,4901.87530908031,2737.5785435134167,2737.578543609778,0.0,0.0,0.0,0.0,0.0,0.0,2737.5785435714783
2025-05-14 19:52:00,2737.8097362389153,616.7276061571611,4920.483561733806,2737.8097361732084,2737.809736284226,0.0,0.0,0.0,0.0,0.0,0.0,2737.8097362389153
2025-05-14 19:53:00,2738.0409289063514,462.65452126769327,4783.94523755725,2738.0409288321894,2738.040928958781,0.0,0.0,0.0,0.0,0.0,0.0,2738.0409289063514
