timestamp,price_usd,market_cap_usd,price_change_pct,moving_avg_price,volatility_15m
2025-04-23 18:58:47,93763,1861679804230.1013,0.0010665301508172575,93763.42857142857,2.3441924349041527
2025-04-23 18:59:04,93763,1861679804230.1013,0.0,93763.14285714286,2.1995670743851345
2025-04-23 18:59:48,93767,1861679804230.1013,0.004266075104242262,93763.42857142857,2.229670076053965
2025-04-23 19:00:04,93767,1861679804230.1013,0.0,93763.71428571429,2.1536237635006734
2025-04-23 19:00:48,93767,1861679804230.1013,0.0,93764.42857142857,2.1974010797276007
2025-04-23 19:01:04,93774,1861921668241.5093,0.007465312956589365,93766.14285714286,3.211586179894271
2025-04-23 19:01:48,93774,1861921668241.5093,0.0,93767.85714285714,3.7984959530260367
2025-04-23 19:02:04,93774,1861921668241.5093,0.0,93769.42857142857,4.323799043875027
2025-04-23 19:02:49,93776,1861921668241.5093,0.0021327873397813946,93771.28571428571,4.978047052561369
2025-04-23 19:03:05,93776,1861921668241.5093,0.0,93772.57142857143,5.440588210527951
2025-04-23 19:03:49,93776,1861921668241.5093,0.0,93773.85714285714,5.7677263061958906
2025-04-23 19:04:05,93769,1861921668241.5093,-0.007464596485240449,93774.14285714286,5.684565576259851
2025-04-23 19:04:49,93769,1861921668241.5093,0.0,93773.42857142857,5.364788202479712
2025-04-23 19:05:05,93769,1861921668241.5093,0.0,93772.71428571429,4.978047052556755
2025-04-23 19:05:50,93759,1861669161951.973,-0.010664505326918317,93770.57142857143,5.356793646553313
2025-04-23 19:06:05,93759,1861669161951.973,0.0,93768.14285714286,5.787507077467764
2025-04-23 19:06:50,93759,1861669161951.973,0.0,93765.71428571429,6.175990383682476
2025-04-23 19:07:06,93761,1861669161951.973,0.0021331285529946342,93763.57142857143,6.500549433209671
2025-04-23 19:07:50,93761,1861669161951.973,0.0,93762.42857142857,6.784435975452521
2025-04-23 19:08:06,93761,1861669161951.973,0.0,93761.28571428571,7.0325772611165736
2025-04-23 19:08:50,93785,1861966314541.852,0.025596996619059453,93763.57142857143,8.201625859737268
2025-04-23 19:09:06,93785,1861966314541.852,0.0,93767.28571428571,9.160993919889748
2025-04-23 19:09:51,93813,1861966314541.852,0.02985552060563723,93775.0,14.549750450497081
2025-04-23 19:10:06,93813,1861966314541.852,0.0,93782.71428571429,18.02247274615935
2025-04-23 19:10:51,93813,1861966314541.852,0.0,93790.14285714286,20.612756107864477
2025-04-23 19:11:07,93819,1861966314541.852,0.006395702088202171,93798.42857142857,23.307468659525235
2025-04-23 19:11:51,93819,1861966314541.852,0.0,93806.71428571429,25.173682404268355
2025-04-23 19:12:07,93819,1861966314541.852,0.0,93811.57142857143,26.464711456157026
2025-04-23 19:12:52,93821,1861966314541.852,0.00213176435477358,93816.71428571429,27.42053453823382
2025-04-23 19:13:07,93821,1861966314541.852,0.0,93817.85714285714,27.117381529735802
2025-04-23 19:13:52,93821,1861966314541.852,0.0,93819.0,26.119140948479693
2025-04-23 19:14:07,93824,1862761845664.5857,0.0031975783673088287,93820.57142857143,24.517632140796564
2025-04-23 19:14:52,93824,1862761845664.5857,0.0,93821.28571428571,22.206176748632423
2025-04-23 19:15:08,93836,1862761845664.5857,0.012789904502041871,93823.71428571429,19.48185969614256
2025-04-23 19:15:52,93836,1862761845664.5857,0.0,93826.14285714286,14.573949364445639
2025-04-23 19:16:08,93836,1862761845664.5857,0.0,93828.28571428571,12.472827612411523
2025-04-23 19:16:53,93825,1862761845664.5857,-0.01172257982011704,93828.85714285714,7.889112454242336
2025-04-23 19:17:08,93825,1862761845664.5857,0.0,93829.42857142857,7.434155415665651
2025-04-23 19:17:53,93825,1862761845664.5857,0.0,93829.57142857143,6.850095590678115
2025-04-23 19:18:09,93797,1862918944764.673,-0.029842792432721588,93825.71428571429,9.473270671761892
2025-04-23 19:18:53,93797,1862918944764.673,0.0,93820.14285714286,11.627963015384033
2025-04-23 19:19:09,93797,1862918944764.673,0.0,93814.57142857143,13.269011520995534
2025-04-23 19:19:54,93781,1862918944764.673,-0.017058114865076135,93806.71428571429,16.70956384491415
2025-04-23 19:20:09,93781,1862918944764.673,0.0,93800.42857142857,19.162711809327536
2025-04-23 19:20:54,93781,1862918944764.673,0.0,93794.14285714286,20.975495909496544
2025-04-23 19:21:09,93775,1861922625789.8523,-0.006397884432884915,93787.0,22.902484790994848
2025-04-23 19:21:55,93775,1861922625789.8523,0.0,93783.85714285714,24.1230970151394
2025-04-23 19:22:10,93763,1861922625789.8523,-0.0127965875766467,93779.0,25.956006738179276
2025-04-23 19:22:55,93763,1861922625789.8523,0.0,93774.14285714286,25.9693959091816
2025-04-23 19:23:10,93763,1861922625789.8523,0.0,93771.57142857143,24.987044263594232
2025-04-23 19:23:55,93762,1861922625789.8523,-0.0010665187760605654,93768.85714285714,22.958554792795443
2025-04-23 19:24:10,93762,1861922625789.8523,0.0,93766.14285714286,21.27663596938885
