nohup: ignoring input
Appended row: {'timestamp': '2025-04-23 19:31:12', 'price_usd': 93758, 'market_cap_usd': 1861900973065.7754, 'price_change_pct': -1e-05}
Appended row: {'timestamp': '2025-04-23 19:32:13', 'price_usd': 93757, 'market_cap_usd': 1861900973065.7754, 'price_change_pct': -1e-05}
Appended row: {'timestamp': '2025-04-23 19:33:13', 'price_usd': 93757, 'market_cap_usd': 1861900973065.7754, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 19:34:13', 'price_usd': 93743, 'market_cap_usd': 1861390305598.2637, 'price_change_pct': -0.00015}
Appended row: {'timestamp': '2025-04-23 19:35:14', 'price_usd': 93740, 'market_cap_usd': 1861390305598.2637, 'price_change_pct': -3e-05}
Appended row: {'timestamp': '2025-04-23 19:36:14', 'price_usd': 93740, 'market_cap_usd': 1861390305598.2637, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 19:37:14', 'price_usd': 93726, 'market_cap_usd': 1860962079523.7407, 'price_change_pct': -0.00015}
Appended row: {'timestamp': '2025-04-23 19:38:15', 'price_usd': 93703, 'market_cap_usd': 1860962079523.7407, 'price_change_pct': -0.00025}
Appended row: {'timestamp': '2025-04-23 19:39:15', 'price_usd': 93703, 'market_cap_usd': 1860962079523.7407, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 19:40:15', 'price_usd': 93697, 'market_cap_usd': 1860962079523.7407, 'price_change_pct': -6e-05}
Appended row: {'timestamp': '2025-04-23 19:41:16', 'price_usd': 93685, 'market_cap_usd': 1860323919027.559, 'price_change_pct': -0.00013}
Appended row: {'timestamp': '2025-04-23 19:42:16', 'price_usd': 93685, 'market_cap_usd': 1860323919027.559, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 19:43:16', 'price_usd': 93664, 'market_cap_usd': 1860323919027.559, 'price_change_pct': -0.00022}
Appended row: {'timestamp': '2025-04-23 19:44:17', 'price_usd': 93651, 'market_cap_usd': 1860323919027.559, 'price_change_pct': -0.00014}
Appended row: {'timestamp': '2025-04-23 19:45:17', 'price_usd': 93651, 'market_cap_usd': 1860323919027.559, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 19:46:17', 'price_usd': 93642, 'market_cap_usd': 1859331746504.4622, 'price_change_pct': -0.0001}
Appended row: {'timestamp': '2025-04-23 19:47:17', 'price_usd': 93641, 'market_cap_usd': 1859331746504.4622, 'price_change_pct': -1e-05}
Appended row: {'timestamp': '2025-04-23 19:48:18', 'price_usd': 93642, 'market_cap_usd': 1859331746504.4622, 'price_change_pct': 1e-05}
Appended row: {'timestamp': '2025-04-23 19:49:18', 'price_usd': 93642, 'market_cap_usd': 1859331746504.4622, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 19:50:18', 'price_usd': 93621, 'market_cap_usd': 1859233398364.266, 'price_change_pct': -0.00022}
Appended row: {'timestamp': '2025-04-23 19:51:19', 'price_usd': 93618, 'market_cap_usd': 1859233398364.266, 'price_change_pct': -3e-05}
Appended row: {'timestamp': '2025-04-23 19:52:19', 'price_usd': 93618, 'market_cap_usd': 1859233398364.266, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 19:53:19', 'price_usd': 93614, 'market_cap_usd': 1859233398364.266, 'price_change_pct': -4e-05}
