timestamp,price_usd,market_cap_usd,price_change_pct
2025-04-23 19:24:55,93762,1861922625789.8525,0.0
2025-04-23 19:25:11,93770,1861922625789.8525,9e-05
2025-04-23 19:25:56,93770,1861922625789.8525,9e-05
2025-04-23 19:26:11,93770,1861922625789.8525,0.0
2025-04-23 19:26:56,93787,1861999004331.314,0.00018
2025-04-23 19:27:11,93787,1861999004331.314,0.00018
2025-04-23 19:27:56,93787,1861999004331.314,0.0
2025-04-23 19:28:12,93777,1861999004331.314,-0.00011
2025-04-23 19:28:57,93777,1861999004331.314,-0.00011
2025-04-23 19:29:12,93777,1861999004331.314,0.0
2025-04-23 19:29:57,93759,1861900973065.7754,-0.00019
2025-04-23 19:30:12,93759,1861900973065.7754,-0.00019
2025-04-23 19:30:57,93759,1861900973065.7754,0.0
2025-04-23 19:31:12,93758,1861900973065.7754,-1e-05
2025-04-23 19:31:57,93758,1861900973065.7754,-1e-05
2025-04-23 19:32:13,93757,1861900973065.7754,-1e-05
2025-04-23 19:32:58,93757,1861900973065.7754,-1e-05
2025-04-23 19:33:13,93757,1861900973065.7754,0.0
2025-04-23 19:33:58,93743,1861390305598.2637,-0.00015
2025-04-23 19:34:13,93743,1861390305598.2637,-0.00015
2025-04-23 19:34:58,93743,1861390305598.2637,0.0
2025-04-23 19:35:14,93740,1861390305598.2637,-3e-05
2025-04-23 19:35:59,93740,1861390305598.2637,-3e-05
2025-04-23 19:36:14,93740,1861390305598.2637,0.0
2025-04-23 19:36:59,93726,1860962079523.7407,-0.00015
2025-04-23 19:37:14,93726,1860962079523.7407,-0.00015
2025-04-23 19:37:59,93726,1860962079523.7407,0.0
2025-04-23 19:38:15,93703,1860962079523.7407,-0.00025
2025-04-23 19:39:00,93703,1860962079523.7407,-0.00025
2025-04-23 19:39:15,93703,1860962079523.7407,0.0
2025-04-23 19:40:00,93697,1860962079523.7407,-6e-05
2025-04-23 19:40:15,93697,1860962079523.7407,-6e-05
2025-04-23 19:41:00,93697,1860962079523.7407,0.0
2025-04-23 19:41:16,93685,1860323919027.559,-0.00013
2025-04-23 19:42:01,93685,1860323919027.559,-0.00013
2025-04-23 19:42:16,93685,1860323919027.559,0.0
