timestamp,open,high,price_validation,hourly_volatility,low,close,price_change,volume
2025-05-11T13:00:48,104596.1,104653.3,Valid,128,104525.3,104587.4,-9,15.28188187
2025-05-11T13:15:44,104593.8,104593.9,Valid,353,104240.5,104326.3,-267,16.31375465
2025-05-11T13:30:40,104326.2,104513.6,Valid,345,104168.2,104312.2,-14,32.11325798
2025-05-11T13:45:36,104305.1,104422.2,Valid,485,103937,103968.5,-337,31.82400019
2025-05-11T14:00:32,103968.5,104046.1,Valid,146,103900.6,103946.9,-22,25.17969613
2025-05-11T14:15:28,103946.8,104052.2,Valid,278,103774.6,103915.7,-31,39.73283981
2025-05-11T14:30:24,103911.6,104274.7,Valid,398,103876.3,104243.3,332,24.4495326
2025-05-11T14:45:20,104243.3,104287.3,Valid,182,104105.1,104162.1,-81,12.86385798
2025-05-11T15:00:16,104162.1,104552.4,Valid,481,104071.1,104500.1,338,20.64826924
2025-05-11T15:15:12,104500.1,104669,Valid,373,104295.8,104338.8,-161,17.4268246
2025-05-11T15:30:08,104340.4,104438.2,Valid,184,104254.3,104256.8,-84,6.26937557
2025-05-11T15:45:04,104266.6,104379.7,Valid,473,103906.8,104140.4,-126,33.7455172
2025-05-11T16:00,104140.5,104174.3,Valid,367,103807.6,104039.9,-101,23.52847948
2025-05-11T16:14:56,104039.8,104083.3,Valid,335,103748.8,104072.7,33,28.27920294
2025-05-11T16:29:52,104080.7,104117.9,Valid,205,103913.2,103948.5,-132,15.76230477
2025-05-11T16:44:48,103948.5,103979.8,Valid,171,103808.7,103979.8,31,9.31480543
2025-05-11T16:59:44,103979.9,104042.9,Valid,218,103824.6,104032.3,52,20.76152252
2025-05-11T17:14:40,104032.4,104148.7,Valid,372,103776.4,103919.7,-113,17.16032249
2025-05-11T17:29:36,103919.6,104017.4,Valid,208,103809.6,104008,88,25.76447712
2025-05-11T17:44:32,104009.3,104095.3,Valid,196,103899,104029.1,20,21.00622981
2025-05-11T17:59:28,104029.1,104099.1,Valid,224,103875.2,103920.3,-109,46.01234953
2025-05-11T18:14:24,103920.4,104049.1,Valid,158,103891.1,103924.8,4,18.7054072
2025-05-11T18:29:20,103923.5,104600,Valid,739,103861.1,104493.2,570,35.72315616
2025-05-11T18:44:16,104493.3,104839.9,Valid,347,104493.2,104556.4,63,29.98431248
2025-05-11T18:59:12,104538.2,104660.6,Valid,232,104428.2,104586.1,48,20.00160635
2025-05-11T19:14:08,104586.2,104638.8,Valid,181,104458.2,104523.8,-62,14.25799435
2025-05-11T19:29:04,104523.8,104625.2,Valid,160,104464.9,104464.9,-59,15.8621506
2025-05-11T19:44,104464.9,104590.9,Valid,238,104353.1,104421.5,-43,14.33384847
2025-05-11T20:01:04,104421.5,104437.4,Valid,279,104158.5,104387.9,-34,19.50220763
2025-05-11T20:16,104388,104407.5,Valid,161,104246.7,104383.8,-4,18.09841486
2025-05-11T20:30:56,104383.8,104444.9,Valid,158,104286.6,104294.3,-89,14.36696445
2025-05-11T20:45:52,104294.3,104324.2,Valid,80,104244.2,104272.5,-22,12.05895729
2025-05-11T21:00:48,104272.6,104283.4,Valid,293,103990.8,104014.4,-258,12.16423625
2025-05-11T21:15:44,104014.5,104258.4,Valid,244,104014.4,104191.3,177,8.17006051
2025-05-11T21:30:40,104191.3,104206.7,Valid,257,103950.1,104085,-106,11.7298823
2025-05-11T21:45:36,104084.9,104393.8,Valid,363,104031.3,104357.1,272,20.4103492
2025-05-11T22:00:32,104357.1,104582.6,Valid,782,103801,104109.9,-247,39.17005279
2025-05-11T22:15:28,104107.5,104200,Valid,343,103857.4,103956.3,-151,14.64817105
2025-05-11T22:30:24,103949.7,104028.8,Valid,455,103574,103574.1,-376,25.75397714
2025-05-11T22:45:20,103574.1,103805.5,Valid,232,103573.9,103796.5,222,15.55909138
2025-05-11T23:00:16,103796.5,103991.8,Valid,230,103761.6,103886.9,90,14.38146868
2025-05-11T23:15:12,103884.4,104019.4,Valid,208,103811.9,103988,104,9.09116515
2025-05-11T23:30:08,103987.9,104007,Valid,235,103771.7,104006.9,19,9.23173982
2025-05-11T23:45:04,104002.4,104124,Valid,212,103912.1,104100.4,98,16.20933143
2025-05-12T00:00,104107.1,104317,Valid,251,104066,104306.6,200,15.73559247
2025-05-12T00:14:56,104306.7,104471.8,Valid,178,104293.8,104385,78,21.22687179
2025-05-12T00:29:52,104397.5,104622,Valid,289,104333.4,104336.4,-61,25.22068351
2025-05-12T00:44:48,104336.4,104630.4,Valid,326,104304.9,104581.9,246,15.39436656
2025-05-12T00:59:44,104581.9,105105.1,Valid,585,104519.7,104742.9,161,79.82698279
2025-05-12T01:14:40,104752.5,104783.5,Valid,614,104169.5,104277.7,-475,20.38818858
2025-05-12T01:29:36,104277.8,104283.1,Valid,528,103755.2,104005.3,-272,43.55115033
2025-05-12T01:44:32,104005.3,104078.2,Valid,185,103893.5,103980.4,-25,10.76249488
2025-05-12T01:59:28,103983.4,104191.1,Valid,264,103927.4,103993.9,11,16.8863024
2025-05-12T02:14:24,104003.9,104194.7,Valid,298,103896.8,103964.7,-39,18.91763732
2025-05-12T02:29:20,103951.5,104109.9,Valid,227,103883.3,103910.7,-41,22.41806853
2025-05-12T02:44:16,103910.7,103993.4,Valid,278,103715.5,103877.4,-33,15.51836529
2025-05-12T02:59:12,103884.9,103896.5,Valid,182,103714.6,103888.6,4,12.56986945
2025-05-12T03:14:08,103888.6,104047.4,Valid,284,103763.5,103859,-30,13.24482382
2025-05-12T03:29:04,103859,103963.9,Valid,167,103797.3,103948.6,90,8.21580908
2025-05-12T03:44,103947.4,104088.7,Valid,215,103873.4,104088.7,141,6.7008728
