time,price,date,datetime
10:04.4,101808,5/15/25,24:49.1
11:03.7,101806,5/15/25,25:49.1
12:04.2,101786,5/15/25,26:49.1
13:03.8,101786,5/15/25,27:49.1
14:04.3,101775,5/15/25,28:49.1
15:03.8,101772,5/15/25,29:49.1
16:04.4,101761,5/15/25,30:49.1
17:03.8,101777,5/15/25,31:49.1
18:04.3,101777,5/15/25,32:49.1
19:03.9,101765,5/15/25,33:49.1
20:04.5,101765,5/15/25,34:49.1
21:03.9,101773,5/15/25,35:49.1
22:04.4,101797,5/15/25,36:49.1
23:04.0,101801,5/15/25,37:49.1
24:04.6,101816,5/15/25,38:49.1
25:04.2,101823,5/15/25,39:49.1
26:03.7,101827,5/15/25,40:49.1
27:04.3,101829,5/15/25,41:49.1
28:03.8,101838,5/15/25,42:49.1
29:04.2,101835,5/15/25,43:49.1
30:03.8,101840,5/15/25,44:49.1
31:04.2,101844,5/15/25,45:49.1
32:03.6,101851,5/15/25,46:49.1
33:04.0,101859,5/15/25,47:49.1
34:04.4,101836,5/15/25,48:49.1
35:03.9,101829,5/15/25,49:49.1
36:04.4,101816,5/15/25,50:49.1
37:03.9,101806,5/15/25,51:49.1
38:04.3,101797,5/15/25,52:49.1
39:03.9,101801,5/15/25,53:49.1
40:04.4,101802,5/15/25,54:49.1
41:03.9,101801,5/15/25,55:49.1
42:04.3,101801,5/15/25,56:49.1
43:03.7,101787,5/15/25,57:49.1
44:04.3,101787,5/15/25,58:49.1
45:03.9,101767,5/15/25,59:49.1
46:04.4,101765,5/15/25,00:49.1
47:03.9,101769,5/15/25,01:49.1
48:04.4,101770,5/15/25,02:49.1
49:03.9,101770,5/15/25,03:49.1
50:04.3,101776,5/15/25,04:49.1
51:03.7,101790,5/15/25,05:49.1
52:04.2,101787,5/15/25,06:49.1
53:03.6,101788,5/15/25,07:49.1
54:04.0,101793,5/15/25,08:49.1
55:04.9,101798,5/15/25,09:49.1
56:04.8,101797,5/15/25,10:49.1
57:04.4,101775,5/15/25,11:49.1
58:03.8,101771,5/15/25,12:49.1
59:04.3,101769,5/15/25,13:49.1
00:04.0,101766,5/15/25,14:49.1
01:04.5,101770,5/15/25,15:49.1
02:04.1,101797,5/15/25,16:49.1
03:04.6,101799,5/15/25,17:49.1
04:04.1,101803,5/15/25,18:49.1
05:04.6,101810,5/15/25,19:49.1
06:04.1,101813,5/15/25,20:49.1
07:03.6,101829,5/15/25,21:49.1
08:04.2,101841,5/15/25,22:49.1
09:03.8,101855,5/15/25,23:49.1
10:04.2,101872,5/15/25,24:49.1
11:03.7,101897,5/15/25,25:49.1
12:04.4,101913,5/15/25,26:49.1
13:03.9,101917,5/15/25,27:49.1
14:04.3,101917,5/15/25,28:49.1
15:03.9,101922,5/15/25,29:49.1
16:04.4,101926,5/15/25,30:49.1
17:04.0,101939,5/15/25,31:49.1
18:04.7,101946,5/15/25,32:49.1
19:04.0,101971,5/15/25,33:49.1
20:04.5,101980,5/15/25,34:49.1
21:04.0,101992,5/15/25,35:49.1
22:04.6,101992,5/15/25,36:49.1
23:04.3,102014,5/15/25,37:49.1
24:03.8,102036,5/15/25,38:49.1
25:04.3,102056,5/15/25,39:49.1
26:04.0,102061,5/15/25,40:49.1
27:04.6,102139,5/15/25,41:49.1
