ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,moving_avg_price,volatility_15m
2025-04-23 19:49:03,123438.107403398,93614.74388952744,93711.456384069,123438.107403398,123438.107403398,-29777.09622387754,-29777.09622387754,-29777.09622387754,-29777.09622387754,-29777.09622387754,-29777.09622387754,0.0,0.0,0.0,93661.01117952046,93664.0881022163,8.150294588466938
2025-04-23 19:49:18,123435.60573764349,93609.93099585506,93708.26266192725,123435.60573764349,123435.60573764349,-29775.059519143037,-29775.059519143037,-29775.059519143037,-29775.059519143037,-29775.059519143037,-29775.059519143037,0.0,0.0,0.0,93660.54621850046,93663.19617358419,7.4705949290862685
2025-04-23 19:50:03,123428.10074038002,93607.62895706431,93704.04011161099,123428.10074038002,123428.10074038002,-29768.935020248795,-29768.935020248795,-29768.935020248795,-29768.935020248795,-29768.935020248795,-29768.935020248795,0.0,0.0,0.0,93659.16572013122,93662.17696944579,6.636577809865737
2025-04-23 19:50:18,123425.59907462551,93608.76971296374,93707.89013734808,123425.59907462551,123425.59907462551,-29766.888561060357,-29766.888561060357,-29766.888561060357,-29766.888561060357,-29766.888561060357,-29766.888561060357,0.0,0.0,0.0,93658.71051356515,93661.30101048222,5.999638072339591
2025-04-23 19:51:03,123418.09407736204,93605.73943385904,93704.39706523632,123418.09407736204,123418.09407736204,-29760.73360128652,-29760.73360128652,-29760.73360128652,-29760.73360128652,-29760.73360128652,-29760.73360128652,0.0,0.0,0.0,93657.36047607553,93660.30107671687,5.256940771634424
2025-04-23 19:51:19,123415.42563389057,93609.16147278798,93707.94528747324,123415.42563389057,123415.42563389057,-29758.539359702696,-29758.539359702696,-29758.539359702696,-29758.539359702696,-29758.539359702696,-29758.539359702696,0.0,0.0,0.0,93656.88627418787,93659.4428765184,4.792486679759481
2025-04-23 19:52:04,123407.92063662708,93610.59898581918,93708.70030610106,123407.92063662708,123407.92063662708,-29752.35099462595,-29752.35099462595,-29752.35099462595,-29752.35099462595,-29752.35099462595,-29752.35099462595,0.0,0.0,0.0,93655.56964200112,93658.46428914026,4.32921451931683
2025-04-23 19:52:19,123405.4189708726,93606.33347851271,93707.23011395374,123405.4189708726,123405.4189708726,-29750.2824467453,-29750.2824467453,-29750.2824467453,-29750.2824467453,-29750.2824467453,-29750.2824467453,0.0,0.0,0.0,93655.1365241273,93657.62505265551,4.201218656450781
2025-04-23 19:53:04,123397.91397360912,93607.05225415301,93700.80414829942,123397.91397360912,123397.91397360912,-29744.05883822532,-29744.05883822532,-29744.05883822532,-29744.05883822532,-29744.05883822532,-29744.05883822532,0.0,0.0,0.0,93653.8551353838,93656.66918363885,4.1540092813723355
2025-04-23 19:53:19,123395.41230785463,93604.99459228976,93701.5707170564,123395.41230785463,123395.41230785463,-29741.978151953816,-29741.978151953816,-29741.978151953816,-29741.978151953816,-29741.978151953816,-29741.978151953816,0.0,0.0,0.0,93653.43415590082,93655.8503887488,4.115407571535892
